Iter	Posterior	Likelihood	Prior	t_s0	t_s1	t_c0	t_c1	t_c2	t_c3	b0_s0	b0_s1	b0_c	b1_s0	b1_s1	b1_c	b2_s0	b2_s1	b2_c	b3_s0	b3_s1	b3_c	b4_s0	b4_s1	b4_c	b5_s0	b5_s1	b5_c	b6_s0	b6_s1	b6_c	b7_s0	b7_s1	b7_c	b8_s0	b8_s1	b8_c	b9_s0	b9_s1	b9_c	b10_s0	b10_s1	b10_c	b11_s0	b11_s1	b11_c	b12_s0	b12_s1	b12_c	b13_s0	b13_s1	b13_c	b14_s0	b14_s1	b14_c	b15_s0	b15_s1	b15_c	b16_s0	b16_s1	b16_c	b17_s0	b17_s1	b17_c	b18_s0	b18_s1	b18_c	b19_s0	b19_s1	b19_c	b20_s0	b20_s1	b20_c	b21_s0	b21_s1	b21_c	b22_s0	b22_s1	b22_c	b23_s0	b23_s1	b23_c	b24_s0	b24_s1	b24_c	b25_s0	b25_s1	b25_c	b26_s0	b26_s1	b26_c	b27_s0	b27_s1	b27_c	b28_s0	b28_s1	b28_c	b29_s0	b29_s1	b29_c	b30_s0	b30_s1	b30_c	b31_s0	b31_s1	b31_c	b32_s0	b32_s1	b32_c	b33_s0	b33_s1	b33_c	b34_s0	b34_s1	b34_c	b35_s0	b35_s1	b35_c	b36_s0	b36_s1	b36_c	b37_s0	b37_s1	b37_c	b38_s0	b38_s1	b38_c	b39_s0	b39_s1	b39_c	b40_s0	b40_s1	b40_c	b41_s0	b41_s1	b41_c	b42_s0	b42_s1	b42_c	b43_s0	b43_s1	b43_c
1000	-185.454	-185.22	-0.233966	6	17	11	2	0	9	0	0	3	1	0	3	0	0	3	0	0	3	0	1	3	0	1	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	3	0	0	3	0	1	0	0	0	1	0	1	1	0	1	0	0	0	3	0	1	3	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	3	0	1	3	0	0	0	0	0	0	0	0	0	0	0	3	0	0	3	0	1	1	0	0	1	0	2	3	0	1	3
1100	-190.836	-194.658	3.82256	6	17	11	2	0	9	0	0	3	0	0	3	0	0	3	0	0	3	0	1	3	0	1	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	3	0	0	3	0	1	0	0	0	1	0	1	1	0	1	0	0	0	3	0	1	3	0	2	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	3	0	1	3	0	0	0	0	0	0	0	0	0	0	0	3	0	1	3	0	0	1	1	0	1	0	3	3	0	0	3
1200	-192.629	-196.135	3.50619	6	17	11	2	0	9	1	0	3	0	0	3	0	0	3	0	0	3	0	1	3	0	1	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	3	0	0	3	0	1	0	0	0	1	0	1	1	0	1	0	0	0	3	0	1	3	0	2	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	3	0	1	3	0	0	0	0	0	0	0	0	0	0	0	3	0	0	3	0	1	1	0	0	1	0	3	3	0	0	3
1300	-193.416	-188.43	-4.98545	6	17	11	2	0	9	1	0	3	0	0	3	0	0	3	0	0	3	0	1	3	0	1	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	3	0	0	3	0	1	0	0	0	1	0	1	1	0	1	0	0	0	3	0	1	3	0	2	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	3	0	1	3	0	0	0	0	0	0	0	0	0	0	0	3	0	0	3	0	1	1	0	0	1	0	3	3	0	0	3
1400	-192.258	-194.849	2.59161	6	17	11	2	0	9	1	0	3	0	0	3	0	0	3	0	0	3	0	1	3	0	1	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	3	0	0	3	0	1	0	0	0	1	0	1	1	0	1	0	0	0	3	0	1	3	0	2	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	3	0	1	3	0	0	0	0	0	0	0	0	0	0	0	3	0	0	3	0	1	1	0	0	1	0	2	3	0	1	3
1500	-188.545	-187.545	-1.00021	6	17	11	2	0	9	0	0	3	1	0	3	0	0	3	0	0	3	0	1	3	0	1	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	3	0	0	3	0	1	0	0	0	1	0	1	1	0	1	0	0	0	3	0	2	3	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	3	0	1	3	0	0	0	0	0	0	0	0	0	0	0	3	0	0	3	0	1	1	0	0	1	0	3	3	0	0	3
1600	-185.822	-188.115	2.29291	6	16	10	3	0	9	0	0	3	0	0	3	0	0	3	0	0	3	0	1	3	0	1	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	3	0	0	3	0	1	0	0	0	1	0	1	1	0	1	0	0	0	3	0	2	3	0	1	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	3	0	0	3	0	0	0	0	0	0	0	0	0	0	0	3	0	0	3	0	1	1	1	0	1	0	1	3	0	2	3
1700	-177.543	-178.869	1.32628	4	16	10	2	1	9	0	0	3	1	0	3	0	0	3	0	1	3	0	1	3	0	1	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	3	0	0	3	0	1	0	0	0	1	0	1	1	0	1	0	0	0	3	0	0	3	0	2	3	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	3	0	1	3	0	0	0	0	0	0	0	0	0	0	0	3	0	0	3	0	0	1	0	0	1	0	2	3	0	0	3
1800	-170.506	-174.955	4.44975	4	16	10	2	1	9	1	0	3	0	0	3	0	0	3	0	1	3	0	1	3	0	1	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	3	0	0	3	0	1	0	0	0	1	0	1	1	0	1	0	0	0	3	0	0	3	0	2	3	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	3	0	1	3	0	0	0	0	0	0	0	0	0	0	0	3	0	0	3	0	0	1	0	0	1	0	1	3	0	1	3
1900	-170.344	-173.966	3.62165	4	16	10	2	1	9	1	0	3	0	0	3	0	0	3	0	1	3	0	1	3	0	1	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	3	0	0	3	0	1	0	0	0	1	0	1	1	0	1	0	0	0	3	0	1	3	0	1	3	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	3	0	1	3	0	0	0	0	0	0	0	0	0	0	0	3	0	0	3	0	0	1	0	0	1	0	2	3	0	0	3
2000	-172.116	-170.788	-1.32758	4	16	10	2	1	9	0	0	3	1	0	3	0	0	3	0	0	3	0	1	3	0	1	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	3	0	0	3	0	1	0	0	0	1	0	1	1	0	1	0	0	0	3	0	0	3	0	2	3	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	3	0	1	3	0	0	0	0	0	0	0	0	0	0	0	3	0	1	3	0	0	1	0	0	1	0	2	3	0	0	3
2100	-172.394	-171.786	-0.607289	4	16	10	2	1	9	0	0	3	1	0	3	0	0	3	0	1	3	0	1	3	0	1	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	3	0	0	3	0	1	0	0	0	1	0	1	1	0	1	0	0	0	3	0	0	3	0	2	3	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	3	0	1	3	0	0	0	0	0	0	0	0	0	0	0	3	0	0	3	0	0	1	0	0	1	0	2	3	0	0	3
2200	-164.385	-167.728	3.34275	4	15	10	2	2	8	1	0	3	0	0	3	0	0	2	0	1	3	0	0	3	0	1	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	3	0	0	3	0	1	0	0	0	1	0	1	1	0	1	0	0	0	3	0	0	3	0	2	3	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	3	0	1	3	0	0	0	0	0	0	0	0	0	0	0	3	0	0	2	0	0	1	0	0	1	0	1	3	0	1	3
2300	-164.574	-169.696	5.12215	4	15	10	2	2	8	1	0	3	0	0	3	0	0	2	0	1	3	0	0	3	0	1	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	3	0	0	3	0	1	0	0	0	1	0	1	1	0	1	0	0	0	3	0	0	3	0	2	3	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	3	0	1	3	0	0	0	0	0	0	0	0	0	0	0	3	0	0	2	0	0	1	0	0	1	0	2	3	0	0	3
2400	-163.794	-168.999	5.20538	4	15	10	2	2	8	0	0	3	0	0	3	0	0	2	0	0	3	0	0	3	0	1	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	3	0	0	3	0	1	0	0	0	1	0	1	1	0	1	0	0	0	3	0	1	3	0	1	3	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	3	0	1	3	0	0	0	0	0	0	0	0	0	0	0	3	0	1	2	0	0	1	1	0	1	0	2	3	0	0	3
2500	-165.04	-169.942	4.90189	4	15	10	2	2	8	0	0	3	1	0	3	0	0	2	0	0	3	0	0	3	0	1	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	3	0	0	3	0	1	0	0	0	1	0	1	1	0	1	0	0	0	3	0	1	3	0	1	3	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	3	0	1	3	0	0	0	0	0	0	0	0	0	0	0	3	0	1	2	0	0	1	0	0	1	0	2	3	0	0	3
2600	-164.4	-164.269	-0.130531	4	15	10	2	2	8	0	0	3	1	0	3	0	0	2	0	1	3	0	0	3	0	1	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	3	0	0	3	0	1	0	0	0	1	0	1	1	0	1	0	0	0	3	0	1	3	0	1	3	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	3	0	1	3	0	0	0	0	0	0	0	0	0	0	0	3	0	0	2	0	0	1	0	0	1	0	2	3	0	0	3
2700	-167.331	-172.422	5.09055	4	15	10	2	2	8	0	0	3	0	0	3	0	0	2	0	1	3	0	0	3	0	1	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	3	0	0	3	0	1	0	0	0	1	0	1	1	0	1	0	0	0	3	0	0	3	0	2	3	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	3	0	0	3	0	0	0	0	0	0	0	0	0	0	0	3	0	0	2	0	0	1	1	0	1	0	2	3	0	0	3
